Open,High,Low,LTP
0.324427481,0.323551543,0.321619557,0.318320611
0.318320611,0.342362679,0.320855615,0.332061069
0.332061069,0.366440933,0.339954163,0.36259542
0.36259542,0.394281415,0.379679144,0.393129771
0.393129771,0.404815651,0.368983957,0.393129771
0.393129771,0.388261851,0.378915202,0.393129771
0.393129771,0.401053424,0.38961039,0.391603053
0.391603053,0.384499624,0.380443086,0.376335878
0.376335878,0.370955606,0.360580596,0.361068702
0.361068702,0.361173815,0.355996944,0.366412214
0.366412214,0.361173815,0.359052712,0.355725191
0.355725191,0.338600451,0.33460657,0.340458015
0.340458015,0.331075997,0.329258976,0.328244275
0.328244275,0.358916479,0.339954163,0.354198473
0.354198473,0.383747178,0.368220015,0.385496183
0.385496183,0.367193378,0.355996944,0.369465649
0.369465649,0.351392024,0.344537815,0.347328244
0.347328244,0.352896915,0.351413293,0.358015267
0.358015267,0.364936042,0.356760886,0.364885496
0.364885496,0.377727615,0.372039725,0.377099237
0.377099237,0.309255079,0.304812834,0.313740458
0.313740458,0.323551543,0.320855615,0.318320611
0.318320611,0.334838224,0.317799847,0.313740458
0.313740458,0.31075997,0.313216196,0.310687023
0.310687023,0.317531979,0.317035905,0.315267176
0.315267176,0.313017306,0.317035905,0.317557252
0.317557252,0.312264861,0.317035905,0.312977099
0.312977099,0.319789315,0.317035905,0.320610687
0.320610687,0.338600451,0.313216196,0.34351145
0.34351145,0.351392024,0.324675325,0.348854962
0.348854962,0.334838224,0.321619557,0.321374046
0.321374046,0.323551543,0.324675325,0.320610687
0.320610687,0.328066215,0.317035905,0.332824427
0.332824427,0.339352897,0.324675325,0.332061069
0.332061069,0.331828442,0.324675325,0.328244275
0.328244275,0.330323552,0.339190222,0.335114504
0.335114504,0.318284424,0.320855615,0.320610687
0.320610687,0.316779533,0.31092437,0.316793893
0.316793893,0.312264861,0.316271963,0.316793893
0.316793893,0.305492852,0.308632544,0.309160305
0.309160305,0.316027088,0.324675325,0.320610687
0.320610687,0.303987961,0.312452254,0.308396947
0.308396947,0.292701279,0.300993125,0.296946565
0.296946565,0.307750188,0.301757066,0.300763359
0.300763359,0.304740406,0.304812834,0.301526718
0.301526718,0.297215952,0.286478228,0.286259542
0.286259542,0.282167043,0.282658518,0.286259542
0.286259542,0.282167043,0.286478228,0.282442748
0.282442748,0.28592927,0.286478228,0.290076336
0.290076336,0.283671934,0.282658518,0.283969466
0.283969466,0.279157261,0.282658518,0.283206107
0.283206107,0.300978179,0.27578304,0.290839695
0.290839695,0.280662152,0.286478228,0.283206107
0.283206107,0.276147479,0.276546982,0.272519084
0.272519084,0.274642588,0.270435447,0.267175573
0.267175573,0.282167043,0.278838808,0.286259542
0.286259542,0.291948834,0.286478228,0.282442748
0.282442748,0.312264861,0.297937357,0.316030534
0.316030534,0.305492852,0.308632544,0.309923664
0.309923664,0.316027088,0.320855615,0.318320611
0.318320611,0.325808879,0.33460657,0.330534351
